Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Ford,Mondeo,Mondeo IV Hatchback,9.3 sec ,15.652
Ford,Mondeo,Mondeo IV Hatchback,8.6 sec ,15.652
Ford,Mondeo,Mondeo IV Hatchback,8.4 sec ,15.652
Ford,Mondeo,Mondeo IV Hatchback,8.3 sec ,15.652
Ford,Mondeo,Mondeo IV Hatchback,9.9 sec ,16.601
Ford,Mondeo,Mondeo IV Hatchback,9.4 sec ,16.601
Ford,Mondeo,Mondeo IV Hatchback,10.3 sec ,16.601
Ford,Mondeo,Mondeo IV Hatchback,9.3 sec ,16.601
Ford,Mondeo,Mondeo IV Hatchback,7.9 sec ,14.148
Ford,Mondeo,Mondeo IV Hatchback,8.7 sec ,14.97
Ford,Mondeo,Mondeo IV Hatchback,12.1 sec ,17.826
Ford,Mondeo,Mondeo IV Hatchback,12.1 sec ,17.826
Ford,Mondeo,Mondeo IV Hatchback,11.7 sec ,not known
Ford,Mondeo,Mondeo IV Hatchback,11.5 sec ,not known
Ford,Mondeo,Mondeo IV Hatchback,9.1 sec ,16.0
Ford,Mondeo,Mondeo IV Hatchback,9.2 sec ,15.943
Ford,Mondeo,Mondeo IV Hatchback,12 sec ,17.162
Ford,KA,KA+ (facelift 2018),11.4 sec ,not known
Ford,KA,KA+ (facelift 2018),13.5 sec ,not known
Ford,KA,KA+ (facelift 2018),14.6 sec ,not known
Ford,Probe,Probe I,16.0
Ford,Probe,Probe I,16.962
Ford,Probe,Probe I,8.6 sec ,15.828
Ford,Escort,Escort VI Hatch (GAL),6.1 sec ,13.776
Ford,Escort,Escort VI Hatch (GAL),9.1 sec ,15.35
Ford,Escort,Escort VI Hatch (GAL),8.7 sec ,15.035
Ford,Escort,Escort VI Hatch (GAL),10 sec ,16.056
Ford,Escort,Escort VI Hatch (GAL),11.5 sec ,17.688
Ford,Escort,Escort VI Hatch (GAL),10.8 sec ,16.758
Ford,Escort,Escort VI Hatch (GAL),10.7 sec ,16.495
Ford,Escort,Escort VI Hatch (GAL),17.9 sec ,19.978
Ford,Escort,Escort VI Hatch (GAL),14 sec ,18.007
Ford,Escort,Escort VI Hatch (GAL),12.3 sec ,17.405
Ford,Escort,Escort VI Hatch (GAL),13 sec ,18.272
Ford,Escort,Escort VI Hatch (GAL),15.4 sec ,18.358
Ford,Escort,Escort VI Hatch (GAL),17.7 sec ,19.378
Ford,Granada,Granada Turnier (GGNL),not known
Ford,Granada,Granada Turnier (GGNL),not known
Ford,Granada,Granada Turnier (GGNL),not known
Ford,Granada,Granada Turnier (GGNL),not known
Ford,Taurus,Taurus VI (facelift 2013),13.301
Ford,Taurus,Taurus VI (facelift 2013),14.221
Ford,Taurus,Taurus VI (facelift 2013),14.002
Ford,Taurus,Taurus VI (facelift 2013),14.84
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.433
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.707
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.773
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,15.035
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.433
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.707
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.707
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,15.035
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,14.97
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,15.288
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,15.288
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Crew Cab Long box,15.592
Ford,F-Series F-100/F-150,F-Series F-150 X SuperCrew,16.65 sec ,14.002
