Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Peugeot,205,"205 I Cabrio (741B,20D)",10.6 sec ,15.828
Peugeot,205,"205 I Cabrio (741B,20D)",9.7 sec ,15.35
Peugeot,205,"205 I Cabrio (741B,20D)",12.4 sec ,16.962
Peugeot,205,"205 I Cabrio (741B,20D)",11.4 sec ,16.601
Peugeot,205,"205 I Cabrio (741B,20D)",12 sec ,17.405
Peugeot,205,"205 I Cabrio (741B,20D)",12.7 sec ,17.734
Peugeot,205,"205 I Cabrio (741B,20D)",14.6 sec ,18.315
Peugeot,408,408 II,16.279
Peugeot,408,408 II,16.056
Peugeot,408,408 II,8.2 sec ,15.472
Peugeot,408,408 II,16.168
Peugeot,408,408 II,16.112
Peugeot,Partner,Partner I (Phase I),18.655
Peugeot,Partner,Partner I (Phase I),19.9 sec ,19.569
Peugeot,Partner,Partner I (Phase I),17.5 sec ,18.779
Pagani,Huayra,Huayra BC,8.867
Peugeot,307,307 Station Wagon,10.8 sec ,16.86
Peugeot,307,307 Station Wagon,12.7 sec ,17.962
Peugeot,307,307 Station Wagon,13.7 sec ,18.861
Peugeot,307,307 Station Wagon,11.5 sec ,16.441
Peugeot,307,307 Station Wagon,10.5 sec ,16.333
Peugeot,307,307 Station Wagon,12 sec ,17.78
Peugeot,307,307 Station Wagon,13.8 sec ,17.594
Peugeot,307,307 Station Wagon,11.9 sec ,17.405
Porsche,911,"911 (997, facelift 2008)",3.3 sec ,10.934
Porsche,911,"911 (997, facelift 2008)",3.4-3.6 sec ,11.172
Porsche,911,"911 (997, facelift 2008)",3.7 sec ,11.054
Porsche,911,"911 (997, facelift 2008)",4 sec ,10.934
Porsche,911,"911 (997, facelift 2008)",4.1 sec ,11.172
Porsche,911,"911 (997, facelift 2008)",3.5 sec ,9.86
Porsche,911,"911 (997, facelift 2008)",4.6 sec ,11.619
Porsche,911,"911 (997, facelift 2008)",4.8 sec ,11.51
Porsche,911,"911 (997, facelift 2008)",4.4 sec ,11.726
Porsche,911,"911 (997, facelift 2008)",4.6 sec ,11.619
Porsche,911,"911 (997, facelift 2008)",4.5 sec ,11.83
Porsche,911,"911 (997, facelift 2008)",4.7 sec ,11.726
Porsche,911,"911 (997, facelift 2008)",4.5 sec ,11.933
Porsche,911,"911 (997, facelift 2008)",4.7 sec ,11.933
Porsche,911,"911 (997, facelift 2008)",4.8 sec ,12.328
Porsche,911,"911 (997, facelift 2008)",5 sec ,12.328
Porsche,911,"911 (997, facelift 2008)",4.7 sec ,12.232
Porsche,911,"911 (997, facelift 2008)",4.9 sec ,12.134
Pagani,Huayra,Huayra,9.222
Porsche,Panamera,Panamera Sport Turismo (G2 II),3.1 sec ,11.4
Porsche,Panamera,Panamera Sport Turismo (G2 II),3.2 sec ,11.4
Porsche,Panamera,Panamera Sport Turismo (G2 II),3.9 sec ,12.328
Porsche,Panamera,Panamera Sport Turismo (G2 II),3.7 sec ,12.034
Porsche,Panamera,Panamera Sport Turismo (G2 II),4.3 sec ,12.423
Porsche,Panamera,Panamera Sport Turismo (G2 II),4.4 sec ,12.788
Porsche,Panamera,Panamera Sport Turismo (G2 II),5.3 sec ,13.621
Peugeot,206,206+,13.7 sec ,17.547
Peugeot,206,206+,13.8 sec ,18.358
Peugeot,206,206+,15.2 sec ,18.902
Peugeot,304,304,20.849
Peugeot,304,304,17.547
Peugeot,304,304,not known
Peugeot,304,304,18.184
Peugeot,306,306 Cabrio (7D),10.8 sec ,16.548
Peugeot,306,306 Cabrio (7D),12.6 sec ,17.405
Peugeot,306,306 Cabrio (7D),12.6 sec ,17.405
Peugeot,306,306 Cabrio (7D),12.7 sec ,18.052
Peugeot,106,106 II (1),8.7 sec ,15.225
Peugeot,106,106 II (1),9.6 sec ,15.711
Peugeot,106,106 II (1),12.2 sec ,16.441
Peugeot,106,106 II (1),18.5 sec ,18.861
Peugeot,106,106 II (1),17 sec ,16.809
Peugeot,106,106 II (1),13.2 sec ,16.809
Peugeot,106,106 II (1),15.4 sec ,18.096
Peugeot,106,106 II (1),19.4 sec ,19.063
Porsche,Cayman,Cayman (981c),4.9 sec ,12.232
Porsche,Cayman,Cayman (981c),5 sec ,12.134
Porsche,Cayman,Cayman (981c),4.8 sec ,12.034
Porsche,Cayman,Cayman (981c),4.9 sec ,12.034
Porsche,Cayman,Cayman (981c),4.4 sec ,11.51
Porsche,Cayman,Cayman (981c),5.6 sec ,12.877
Porsche,Cayman,Cayman (981c),5.7 sec ,12.788
Porsche,911,911 Targa (993),5.4 sec ,12.964
Porsche,911,911 Targa (993),5.4 sec ,12.877
Peugeot,307,307 CC (facelift 2005),9.4 sec ,15.711
Peugeot,307,307 CC (facelift 2005),11.3 sec ,16.706
Peugeot,307,307 CC (facelift 2005),10.1 sec ,16.601
Peugeot,307,307 CC (facelift 2005),10.3 sec ,17.162
Peugeot,307,307 CC (facelift 2005),12.7 sec ,17.962
Peugeot,604,604,11.8 sec ,16.168
Peugeot,604,604,not known
Peugeot,604,604,not known
Peugeot,604,604,not known
Peugeot,604,604,not known
Peugeot,208,208 II,8.1 sec ,16.706
Peugeot,208,208 II,not known
Peugeot,208,208 II,not known
Peugeot,208,208 II,8.2 sec ,not known
Peugeot,208,208 II,8.7 sec ,15.711
Peugeot,208,208 II,13.2 sec ,17.871
Peugeot,208,208 I,6.5 sec ,13.463
Peugeot,208,208 I,6.8 sec ,13.621
Peugeot,208,208 I,8.9 sec ,15.828
Peugeot,208,208 I,7.3 sec ,14.84
Peugeot,208,208 I,9.7 sec ,16.056
Peugeot,208,208 I,10.9 sec ,17.78
Peugeot,208,208 I,10.9 sec ,17.211
Peugeot,208,208 I,10.5 sec ,17.012
Peugeot,208,208 I,13.5 sec ,18.861
Peugeot,208,208 I,16.2 sec ,18.943
Peugeot,208,208 I,not known
Peugeot,208,208 I,12.2 sec ,17.308
Peugeot,208,208 I,14 sec ,18.401
Peugeot,207,207 SW (facelift 2009),11.5 sec ,16.495
Peugeot,207,207 SW (facelift 2009),9.6 sec ,16.333
Peugeot,207,207 SW (facelift 2009),11 sec ,17.012
Peugeot,207,207 SW (facelift 2009),10.3 sec ,17.162
Peugeot,207,207 SW (facelift 2009),12.3 sec ,18.096
Peugeot,207,207 SW (facelift 2009),11.8 sec ,18.272
Peugeot,207,207 SW (facelift 2009),12.4 sec ,17.688
Peugeot,207,207 SW (facelift 2009),14.7 sec ,19.183
Peugeot,206,206 (facelift 2003),7.5 sec ,13.927
Peugeot,206,206 (facelift 2003),12.7 sec ,17.308
Peugeot,206,206 (facelift 2003),8.4 sec ,14.97
Peugeot,206,206 (facelift 2003),11.6 sec ,16.112
Peugeot,206,206 (facelift 2003),9.9 sec ,15.943
Peugeot,206,206 (facelift 2003),10 sec ,16.168
Peugeot,206,206 (facelift 2003),9.9 sec ,16.168
Peugeot,206,206 (facelift 2003),12.2 sec ,16.809
Peugeot,206,206 (facelift 2003),15.4 sec ,17.871
Peugeot,206,206 (facelift 2003),13.2 sec ,17.688
Peugeot,206,206 (facelift 2003),14.7 sec ,18.487
Peugeot,206,206 (facelift 2003),15.2 sec ,18.779
Peugeot,3008,"3008 II (Phase I, 2016)",8.9-9.9 sec ,15.225
Peugeot,3008,"3008 II (Phase I, 2016)",9 sec ,15.411
Peugeot,3008,"3008 II (Phase I, 2016)",9.6-10.6 sec ,16.056
Peugeot,3008,"3008 II (Phase I, 2016)",8.9 sec ,15.099
Peugeot,3008,"3008 II (Phase I, 2016)",8 sec ,15.099
Peugeot,3008,"3008 II (Phase I, 2016)",5.9 sec ,13.852
Peugeot,3008,"3008 II (Phase I, 2016)",11.2-12.4 sec ,16.809
Peugeot,3008,"3008 II (Phase I, 2016)",11.2-12.4 sec ,16.758
Peugeot,3008,"3008 II (Phase I, 2016)",11.6-12.7 sec ,16.86
Peugeot,3008,"3008 II (Phase I, 2016)",13.1 sec ,17.78
Peugeot,3008,"3008 II (Phase I, 2016)",10.8 sec ,16.809
Peugeot,3008,"3008 II (Phase I, 2016)",11.5 sec ,16.86
Peugeot,3008,"3008 II (Phase I, 2016)",10.6 sec ,16.112
Peugeot,3008,"3008 II (Phase I, 2016)",10.8 sec ,16.112
Peugeot,3008,"3008 II (Phase I, 2016)",10.5 sec ,16.224
Peugeot,207,207 CC,12.6 sec ,17.162
Peugeot,207,207 CC,10.7 sec ,17.012
Peugeot,207,207 CC,8.6 sec ,16.056
Peugeot,207,207 CC,10.9 sec ,17.826
Porsche,944,944,7.1 sec ,14.075
Porsche,944,944,8.2 sec ,15.035
Porsche,944,944,5.9 sec ,13.463
Porsche,944,944,13.927
Porsche,944,944,14.363
Porsche,944,944,9.6 sec ,14.639
Porsche,944,944,8.4 sec ,14.639
Porsche,944,944,8.4 sec ,15.099
Porsche,944,944,15.411
Peugeot,2008,2008 I,9.5 sec ,15.769
Peugeot,2008,2008 I,10.4 sec ,16.495
Peugeot,2008,2008 I,13.3 sec ,17.688
Peugeot,2008,2008 I,11.5 sec ,17.641
Peugeot,2008,2008 I,10.4 sec ,16.333
Peugeot,2008,2008 I,14.9 sec ,19.103
Peugeot,2008,2008 I,13.5 sec ,17.688
Peugeot,2008,2008 I,9.9 sec ,16.279
Peugeot,2008,2008 I,15.9 sec ,17.78
Peugeot,306,306 Cabrio (facelift 1997),16.056
Peugeot,306,306 Cabrio (facelift 1997),11.1 sec ,16.056
Peugeot,306,306 Cabrio (facelift 1997),12.5 sec ,17.062
Peugeot,306,306 Cabrio (facelift 1997),15.9 sec ,17.405
Peugeot,306,306 Cabrio (facelift 1997),18.272
Peugeot,306,306 Cabrio (facelift 1997),15 sec ,18.184
Porsche,911,911 Cabriolet (993),not known
Porsche,911,911 Cabriolet (993),5.3 sec ,12.964
Porsche,911,911 Cabriolet (993),5.4 sec ,12.877
Porsche,911,911 Cabriolet (993),5.4 sec ,12.788
Porsche,911,911 Cabriolet (993),not known
Porsche,911,911 Cabriolet (993),5.6 sec ,12.964
Porsche,911,911 Cabriolet (993),5.6 sec ,12.964
Peugeot,206,206,7.5 sec ,13.927
Peugeot,206,206,8.9 sec ,15.035
Peugeot,206,206,11.5 sec ,17.308
Peugeot,206,206,15.1 sec ,18.529
Peugeot,206,206,12.5 sec ,17.162
Peugeot,206,206,10.5 sec ,16.333
Peugeot,206,206,14.8 sec ,17.688
Peugeot,206,206,13.8 sec ,17.688
Peugeot,206,206,14.7 sec ,18.401
Peugeot,206,206,15.2 sec ,18.779
Porsche,944,944 Cabrio,7.1 sec ,14.433
Peugeot,iOn,iOn,15.9 sec ,19.378
Peugeot,iOn,iOn,15.9 sec ,19.063
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Peugeot,504,504,not known
Porsche,911,911 (964),not known
Porsche,911,911 (964),not known
Porsche,911,911 (964),4.8 sec ,not known
Porsche,911,911 (964),5 sec ,12.608
Porsche,911,911 (964),5.4 sec ,12.788
Porsche,911,911 (964),5.7 sec ,13.621
Porsche,911,911 (964),6.6 sec ,13.382
Porsche,911,911 (964),5.7 sec ,13.301
Peugeot,205,205 I (741A/C) 3-door,7.8 sec ,14.221
Peugeot,205,205 I (741A/C) 3-door,15.1 sec ,18.228
Peugeot,205,205 I (741A/C) 3-door,9.5 sec ,15.225
Peugeot,205,205 I (741A/C) 3-door,13.6 sec ,16.495
Peugeot,205,205 I (741A/C) 3-door,14.8 sec ,17.917
Peugeot,205,205 I (741A/C) 3-door,14.5 sec ,18.821
Peugeot,205,205 I (741A/C) 3-door,18.8 sec ,19.3
Peugeot,2008,2008 II (facelift 2023),9.1 sec ,16.279
Peugeot,2008,2008 II (facelift 2023),9 sec ,17.062
Peugeot,2008,2008 II (facelift 2023),9.3 sec ,16.224
Peugeot,2008,2008 II (facelift 2023),9.4 sec ,15.943
Peugeot,2008,2008 II (facelift 2023),10.8 sec ,17.308
Porsche,911,911 (996),4.8 sec ,11.83
Porsche,911,911 (996),6 sec ,12.699
Porsche,911,911 (996),5.2 sec ,12.608
Porsche,911,911 (996),12.608
Porsche,911,911 (996),12.423
Peugeot,1007,1007,12.6 sec ,16.911
Peugeot,1007,1007,17.8 sec ,18.779
Peugeot,1007,1007,15.6 sec ,18.779
Peugeot,1007,1007,16.7 sec ,19.378
Porsche,911,911 Cabriolet (964),5.7 sec ,not known
Porsche,911,911 Cabriolet (964),5.9 sec ,not known
Peugeot,607,607,9.9 sec ,15.099
Peugeot,607,607,8.1 sec ,15.099
Peugeot,607,607,12.1 sec ,17.405
Peugeot,607,607,10.6 sec ,17.405
Peugeot,607,607,11.5 sec ,16.168
Peugeot,607,607,9.6 sec ,16.168
Pagani,Utopia,Utopia,8.678
Pagani,Utopia,Utopia,8.678
Pagani,Huayra,Huayra Roadster,9.048
Peugeot,Partner,Partner III Van Long,12.6-13.0 sec ,18.315
Peugeot,Partner,Partner III Van Long,10.9 sec ,16.809
Peugeot,Partner,Partner III Van Long,10.1 sec ,16.809
Porsche,912,912,16.809
Peugeot,5008,"5008 II (Phase II, 2020)",9.2 sec ,15.711
Peugeot,5008,"5008 II (Phase II, 2020)",8.3 sec ,15.472
Peugeot,5008,"5008 II (Phase II, 2020)",11.8 sec ,17.26
Peugeot,5008,"5008 II (Phase II, 2020)",11.1 sec ,17.211
Peugeot,5008,"5008 II (Phase II, 2020)",10.2 sec ,16.86
Peugeot,5008,"5008 II (Phase II, 2020)",9.9 sec ,16.86
Peugeot,5008,"5008 II (Phase II, 2020)",10.4 sec ,17.062
Pagani,Zonda,Zonda Cinque,3.4 sec ,9.222
Pagani,Zonda,Zonda Cinque,3.4 sec ,9.222
Peugeot,405,405 I (15B),8.6 sec ,14.433
Peugeot,405,405 I (15B),9.8 sec ,15.472
Peugeot,405,405 I (15B),8.6 sec ,14.773
Peugeot,405,405 I (15B),14.4 sec ,16.333
Peugeot,405,405 I (15B),16 sec ,18.738
Peugeot,405,405 I (15B),not known
Peugeot,405,405 I (15B),not known
Peugeot,405,405 I (15B),12.5 sec ,15.711
Peugeot,405,405 I (15B),12.5 sec ,15.592
Peugeot,405,405 I (15B),10.6 sec ,16.706
Peugeot,405,405 I (15B),10.4 sec ,16.0
Peugeot,405,405 I (15B),12.2 sec ,17.357
Peugeot,405,405 I (15B),not known
Peugeot,405,405 I (15B),12.4 sec ,17.062
Peugeot,405,405 I (15B),not known
Peugeot,405,405 I (15B),not known
Peugeot,405,405 I (15B),not known
Peugeot,508,"508 I (Phase I, 2010)",8.2 sec ,14.84
Peugeot,508,"508 I (Phase I, 2010)",8.6 sec ,15.35
Peugeot,508,"508 I (Phase I, 2010)",9.2 sec ,15.943
Peugeot,508,"508 I (Phase I, 2010)",8.6 sec ,15.828
Peugeot,508,"508 I (Phase I, 2010)",9.8 sec ,16.441
Peugeot,508,"508 I (Phase I, 2010)",11.5 sec ,17.162
Peugeot,508,"508 I (Phase I, 2010)",9.2 sec ,15.769
Peugeot,508,"508 I (Phase I, 2010)",8.6 sec ,15.769
Peugeot,508,"508 I (Phase I, 2010)",11.3 sec ,17.594
Peugeot,508,"508 I (Phase I, 2010)",11.9 sec ,17.5
Pagani,Zonda,Zonda C12,3.7 sec ,10.007
Pagani,Zonda,Zonda C12,3.7 sec ,10.007
Peugeot,107,"107 (Phase I, 2005) 3-door",16.8 sec ,19.261
Peugeot,107,"107 (Phase I, 2005) 3-door",14 sec ,17.452
Peugeot,107,"107 (Phase I, 2005) 3-door",13.7 sec ,17.26
Porsche,Cayenne,Cayenne II,4.5 sec ,12.034
Porsche,Cayenne,Cayenne II,4.7 sec ,12.328
Porsche,Cayenne,Cayenne II,5.9 sec ,13.134
Porsche,Cayenne,Cayenne II,6.5 sec ,13.699
Porsche,Cayenne,Cayenne II,5.7 sec ,12.964
Porsche,Cayenne,Cayenne II,5.7 sec ,13.542
Porsche,Cayenne,Cayenne II,7.8 sec ,15.532
Porsche,Cayenne,Cayenne II,7.8 sec ,15.652
Porsche,Cayenne,Cayenne II,7.8 sec ,14.363
Porsche,Cayenne,Cayenne II,7.5 sec ,14.292
Porsche,Macan,Macan,4.4 sec ,12.423
Porsche,Macan,Macan,4.8 - 4.6 sec ,12.788
Porsche,Macan,Macan,5.4 - 5.2 sec ,13.382
Porsche,Macan,Macan,6.3 - 6.1 sec ,14.707
Porsche,Macan,Macan,5.2 sec ,13.218
Porsche,Macan,Macan,6.7 sec ,14.502
Porsche,Taycan,Taycan Sport Turismo (Y1A),3.7 sec ,11.933
Porsche,Taycan,Taycan Sport Turismo (Y1A),2.8 sec ,11.054
Porsche,Taycan,Taycan Sport Turismo (Y1A),3.2 sec ,11.4
Porsche,Taycan,Taycan Sport Turismo (Y1A),5.4 sec ,12.516
Porsche,Taycan,Taycan Sport Turismo (Y1A),5.4 sec ,13.049
Porsche,Taycan,Taycan Sport Turismo (Y1A),4 sec ,11.933
Porsche,Taycan,Taycan Sport Turismo (Y1A),4 sec ,12.134
Peugeot,508,"508L II (Phase I, 2019)",14.707
Peugeot,508,"508L II (Phase I, 2019)",15.652
Peugeot,508,"508L II (Phase I, 2019)",15.711
Peugeot,3008,"3008 II (Phase II, 2020)",8.0 sec ,15.099
Peugeot,3008,"3008 II (Phase II, 2020)",5.9 sec ,13.852
Peugeot,3008,"3008 II (Phase II, 2020)",8.7 sec ,15.035
Peugeot,3008,"3008 II (Phase II, 2020)",8.8 sec ,16.224
Peugeot,3008,"3008 II (Phase II, 2020)",11.5 sec ,16.809
Peugeot,3008,"3008 II (Phase II, 2020)",10.8 sec ,16.809
Peugeot,3008,"3008 II (Phase II, 2020)",9.7 sec ,16.387
Peugeot,3008,"3008 II (Phase II, 2020)",9.5 sec ,16.387
Peugeot,3008,"3008 II (Phase II, 2020)",10 sec ,16.809
Porsche,911,911 Targa (991),4.4 sec ,11.933
Porsche,911,911 Targa (991),4.8 sec ,11.933
Porsche,911,911 Targa (991),4.3 sec ,11.726
Porsche,911,911 Targa (991),4.7 sec ,11.619
Porsche,911,911 Targa (991),4.8 sec ,12.516
Porsche,911,911 Targa (991),5.2 sec ,12.423
Peugeot,305,305 I Break (581D),not known
Peugeot,305,305 I Break (581D),not known
Peugeot,305,305 I Break (581D),not known
Peugeot,308,"308 CC I (Phase I, 2008)",10.3 sec ,16.224
Peugeot,308,"308 CC I (Phase I, 2008)",8.9 sec ,16.112
Peugeot,308,"308 CC I (Phase I, 2008)",10.8 sec ,17.357
Peugeot,308,"308 CC I (Phase I, 2008)",12.5 sec ,17.826
Peugeot,308,"308 CC I (Phase I, 2008)",9.8 sec ,16.279
Peugeot,308,"308 CC I (Phase I, 2008)",9.6 sec ,16.224
Peugeot,308,"308 CC I (Phase I, 2008)",10.4 sec ,not known
Peugeot,308,"308 CC I (Phase I, 2008)",12.4 sec ,not known
Peugeot,308,"308 CC I (Phase I, 2008)",12.2 sec ,18.228
Porsche,911,"911 (996, facelift 2001)",4.8 sec ,11.726
Porsche,911,"911 (996, facelift 2001)",4.2 sec ,11.726
Porsche,911,"911 (996, facelift 2001)",4.3 sec ,not known
Porsche,911,"911 (996, facelift 2001)",4.1 sec ,10.811
Porsche,911,"911 (996, facelift 2001)",5.6 sec ,12.788
Porsche,911,"911 (996, facelift 2001)",5.1 sec ,12.699
Porsche,911,"911 (996, facelift 2001)",5.5 sec ,12.699
Porsche,911,"911 (996, facelift 2001)",5 sec ,12.516
Porsche,911,"911 (996, facelift 2001)",5.5 sec ,12.516
Porsche,911,"911 (996, facelift 2001)",5 sec ,12.328
Peugeot,Rifter,Rifter 4x4 Concept,not known
Peugeot,508,"508 I SW (Phase I, 2010)",8.4 sec ,15.225
Peugeot,508,"508 I SW (Phase I, 2010)",9.5 sec ,16.0
Peugeot,508,"508 I SW (Phase I, 2010)",8.9 sec ,15.885
Peugeot,508,"508 I SW (Phase I, 2010)",10.1 sec ,16.706
Peugeot,508,"508 I SW (Phase I, 2010)",11.8 sec ,17.26
Peugeot,508,"508 I SW (Phase I, 2010)",9.5 sec ,15.885
Peugeot,508,"508 I SW (Phase I, 2010)",8.8 sec ,15.828
Peugeot,508,"508 I SW (Phase I, 2010)",11.6 sec ,17.688
Peugeot,508,"508 I SW (Phase I, 2010)",12.3 sec ,17.547
Peugeot,Landtrek,Landtrek Double Cab,11.2 sec ,16.168
Peugeot,Landtrek,Landtrek Double Cab,13 sec ,16.224
Peugeot,Landtrek,Landtrek Double Cab,12.2 sec ,15.943
Peugeot,Landtrek,Landtrek Double Cab,15.8 sec ,18.14
Peugeot,Landtrek,Landtrek Double Cab,14.9 sec ,17.826
