Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Peugeot,207,207,15.1 sec ,19.417
Peugeot,9x8,9x8 (Racing Prototype),8.678
Porsche,911,911 Cabriolet (991),3.1 sec ,10.934
Porsche,911,911 Cabriolet (991),3.5 sec ,11.172
Porsche,911,911 Cabriolet (991),4.2 sec ,11.51
Porsche,911,911 Cabriolet (991),4.6 sec ,11.51
Porsche,911,911 Cabriolet (991),4.2 sec ,11.619
Porsche,911,911 Cabriolet (991),4.6 sec ,11.619
Porsche,911,911 Cabriolet (991),4.3 sec ,11.83
Porsche,911,911 Cabriolet (991),4.7 sec ,11.726
Porsche,911,911 Cabriolet (991),4.3 sec ,11.933
Porsche,911,911 Cabriolet (991),4.7 sec ,11.83
Porsche,911,911 Cabriolet (991),4.7 sec ,12.423
Porsche,911,911 Cabriolet (991),5.1 sec ,12.328
Porsche,911,911 Cabriolet (991),4.6 sec ,12.328
Porsche,911,911 Cabriolet (991),5 sec ,12.232
Peugeot,304,304 Break,not known
Peugeot,304,304 Break,not known
Peugeot,304,304 Break,not known
Peugeot,207,207 Super 2000,12.134
Peugeot,204,204,not known
Peugeot,204,204,not known
Peugeot,204,204,19.103
Porsche,Cayenne,Cayenne III (facelift 2023),5 sec ,12.608
Porsche,Cayenne,Cayenne III (facelift 2023),6 sec ,13.621
Porsche,Cayenne,Cayenne III (facelift 2023),4.9 sec ,13.134
Porsche,Macan,Macan (facelift 2021),6.2 sec ,14.502
Porsche,Macan,Macan (facelift 2021),4.6-4.8 sec ,13.049
Porsche,Macan,Macan (facelift 2021),4.3-4.5 sec ,12.516
Porsche,Macan,Macan (facelift 2021),6.2-6.4 sec ,14.502
Peugeot,Partner,"Partner II Tepee (Phase III, 2015)",19.5 sec ,22.687
Porsche,Boxster,"Boxster (987, facelift 2009)",5.2 sec ,12.516
Porsche,Boxster,"Boxster (987, facelift 2009)",5.3 sec ,12.423
Porsche,Boxster,"Boxster (987, facelift 2009)",5.8 sec ,13.301
Porsche,Boxster,"Boxster (987, facelift 2009)",5.9 sec ,13.134
Peugeot,308,"308 I (Phase II, 2011)",9.6 sec ,15.769
Peugeot,308,"308 I (Phase II, 2011)",8.8 sec ,16.112
Peugeot,308,"308 I (Phase II, 2011)",10.8 sec ,17.062
Peugeot,308,"308 I (Phase II, 2011)",9.1 sec ,15.711
Peugeot,308,"308 I (Phase II, 2011)",8.8 sec ,15.592
Peugeot,308,"308 I (Phase II, 2011)",12.4 sec ,18.228
Peugeot,308,"308 I (Phase II, 2011)",7.7 sec ,14.502
Peugeot,308,"308 I (Phase II, 2011)",11.4 sec ,17.162
Peugeot,308,"308 I (Phase II, 2011)",11.4 sec ,17.5
Peugeot,308,"308 I (Phase II, 2011)",12.7 sec ,17.917
Pagani,Huayra,Huayra Codalunga,8.678
Porsche,911,"911 Cabriolet (997, facelift 2008)",3.4 sec ,11.054
Porsche,911,"911 Cabriolet (997, facelift 2008)",3.5-3.7 sec ,11.287
Porsche,911,"911 Cabriolet (997, facelift 2008)",3.8 sec ,11.287
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.6 sec ,11.83
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.8 sec ,11.726
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.4-4.6 sec ,11.933
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.8 sec ,11.83
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.7 sec ,12.034
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.9 sec ,11.933
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.5-4.7 sec ,12.134
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.9 sec ,12.134
Porsche,911,"911 Cabriolet (997, facelift 2008)",5 sec ,12.608
Porsche,911,"911 Cabriolet (997, facelift 2008)",5.2 sec ,12.516
Porsche,911,"911 Cabriolet (997, facelift 2008)",4.9 sec ,12.423
Porsche,911,"911 Cabriolet (997, facelift 2008)",5.1 sec ,12.328
VW-Porsche,914,914,9.9 sec ,15.472
VW-Porsche,914,914,10.5 sec ,16.056
VW-Porsche,914,914,12 sec ,16.962
VW-Porsche,914,914,13 sec ,17.012
Peugeot,307,307 (facelift 2005),8.8 sec ,14.707
Peugeot,307,307 (facelift 2005),9.8 sec ,15.828
Peugeot,307,307 (facelift 2005),8.9 sec ,15.711
Peugeot,307,307 (facelift 2005),9.8 sec ,16.279
Peugeot,307,307 (facelift 2005),12.5 sec ,16.962
Peugeot,307,307 (facelift 2005),10.6 sec ,16.809
Peugeot,307,307 (facelift 2005),11.2 sec ,17.062
Peugeot,307,307 (facelift 2005),12.5 sec ,18.184
Peugeot,307,307 (facelift 2005),12.8 sec ,17.917
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),18 sec ,19.531
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),12.8 sec ,17.26
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),12.8 sec ,17.962
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),14.5 sec ,18.487
Peugeot,505,505 (551A),not known
Peugeot,505,505 (551A),not known
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",12 sec ,17.162
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",15.5 sec ,19.023
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",12.1 sec ,17.734
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",15.2 sec ,19.683
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",14.3 sec ,19.063
Peugeot,Partner,"Partner II Tepee (Phase II, 2012)",14.3 sec ,20.158
Peugeot,207,207 SW,11.5 sec ,16.601
Peugeot,207,207 SW,9.6 sec ,16.441
Peugeot,207,207 SW,7.6 sec ,15.035
Peugeot,207,207 SW,10.3 sec ,17.211
Peugeot,207,207 SW,11.8 sec ,18.272
Peugeot,207,207 SW,11.8 sec ,17.734
Peugeot,207,207 SW,14.2 sec ,19.261
Porsche,911,911 Targa (G),7 sec ,not known
Porsche,911,911 Targa (G),7 sec ,14.075
Porsche,911,911 Targa (G),not known
Porsche,911,911 Targa (G),13.852
Porsche,911,911 Targa (G),14.292
Porsche,911,911 Targa (G),14.571
Peugeot,305,305 I (581A),not known
Peugeot,305,305 I (581A),not known
Peugeot,305,305 I (581A),not known
Peugeot,305,305 I (581A),not known
Porsche,911,"911 Targa (997, facelift 2008)",4.7 sec ,12.134
Porsche,911,"911 Targa (997, facelift 2008)",4.9 sec ,12.034
Porsche,911,"911 Targa (997, facelift 2008)",5 sec ,12.516
Porsche,911,"911 Targa (997, facelift 2008)",5.2 sec ,12.423
Peugeot,206,206 SW,17.547
Peugeot,206,206 SW,12.8 sec ,17.547
Peugeot,206,206 SW,9.9 sec ,15.288
Peugeot,206,206 SW,11.8 sec ,16.224
Peugeot,206,206 SW,11.1 sec ,16.495
